Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Oct,3,300011,IT001,IT,671,900,34.10%,0.02%,0.10%,229,229
23-Nov,3,300011,IT001,IT,658,900,36.80%,0.02%,0.10%,242,242
23-Dec,3,300011,IT001,IT,609,900,47.80%,0.03%,0.10%,291,291
23-Jul,3,300012,HU001,HU,59,32,45.80%,0.00%,0.00%,27,-27
23-Aug,3,300012,HU001,HU,3,32,966.70%,0.00%,0.00%,29,29
23-Sep,3,300012,HU001,HU,28,32,14.30%,0.00%,0.00%,4,4
23-Oct,3,300012,HU001,HU,18,5,72.20%,0.00%,0.00%,13,-13
23-Nov,3,300012,HU001,HU,49,27,44.90%,0.00%,0.00%,22,-22
23-Dec,3,300012,HU001,HU,4,32,700.00%,0.00%,0.00%,28,28
23-Jul,3,300012,RO001,RO,81,90,11.10%,0.00%,0.00%,9,9
23-Aug,3,300012,RO001,RO,37,90,143.20%,0.00%,0.00%,53,53
23-Sep,3,300012,RO001,RO,121,120,0.80%,0.00%,0.00%,1,-1
23-Oct,3,300012,RO001,RO,52,120,130.80%,0.01%,0.00%,68,68
23-Nov,3,300012,RO001,RO,127,120,5.50%,0.00%,0.00%,7,-7
23-Dec,3,300012,RO001,RO,200,120,40.00%,0.01%,0.00%,80,-80
23-Jul,3,300013,IL001,IL,135,100,25.90%,0.00%,0.00%,35,-35
23-Aug,3,300013,IL001,IL,64,100,56.30%,0.00%,0.00%,36,36
23-Sep,3,300013,IL001,IL,75,180,140.00%,0.01%,0.10%,105,105
23-Oct,3,300013,IL001,IL,30,180,500.00%,0.01%,0.10%,150,150
23-Nov,3,300013,IL001,IL,13,120,823.10%,0.01%,0.10%,107,107
23-Dec,3,300013,IL001,IL,44,70,59.10%,0.00%,0.00%,26,26
23-Jul,3,300014,CZ001,CZ,1,0,100.00%,0.00%,0.00%,1,-1
23-Sep,3,300014,CZ001,CZ,0,33,,0.00%,0.00%,33,33
23-Oct,3,300014,CZ001,CZ,2,33,1550.00%,0.00%,0.00%,31,31
23-Dec,3,300014,CZ001,CZ,5,0,100.00%,0.00%,0.00%,5,-5
23-Sep,3,300014,PL001,PL,0,22,,0.00%,0.00%,22,22
23-Oct,3,300014,PL001,PL,0,22,,0.00%,0.00%,22,22
23-Jul,3,300015,ES001,ES,50,287,474.00%,0.02%,0.10%,237,237
23-Aug,3,300015,ES001,ES,249,206,17.30%,0.00%,0.00%,43,-43
