month,year,product_family,gmid,loc,country,sales,gmid_key
5,2025,4,400009,US001,US,26,400009_202505_US
5,2025,4,400010,US001,US,165,400010_202505_US
5,2025,4,400011,US001,US,288,400011_202505_US
5,2025,4,400012,US001,US,552,400012_202505_US
5,2025,4,400013,US001,US,243,400013_202505_US
5,2025,4,400014,US001,US,521,400014_202505_US
5,2025,4,400015,US001,US,848,400015_202505_US
5,2025,4,400016,US001,US,563,400016_202505_US
5,2025,4,400017,US001,US,264,400017_202505_US
5,2025,4,400024,KR001,KR,60,400024_202505_KR
5,2025,4,400025,KR001,KR,0,400025_202505_KR
5,2025,4,400026,KR001,KR,60,400026_202505_KR
5,2025,4,400042,TW001,TW,140,400042_202505_TW
5,2025,4,400046,TW001,TW,380,400046_202505_TW
5,2025,4,400043,TW001,TW,80,400043_202505_TW
5,2025,4,400028,JP001,JP,396,400028_202505_JP
5,2025,4,400029,JP001,JP,40,400029_202505_JP
5,2025,4,400030,JP001,JP,256,400030_202505_JP
5,2025,4,400031,JP001,JP,265,400031_202505_JP
5,2025,4,400032,JP001,JP,745,400032_202505_JP
5,2025,4,400033,JP001,JP,881,400033_202505_JP
5,2025,4,400034,JP001,JP,13,400034_202505_JP
5,2025,4,400035,JP001,JP,94,400035_202505_JP
5,2025,4,400036,CA001,CA,120,400036_202505_CA
5,2025,4,400038,CA001,CA,80,400038_202505_CA
5,2025,4,400039,CA001,CA,40,400039_202505_CA
5,2025,4,400040,CA001,CA,438,400040_202505_CA
5,2025,4,400041,CA001,CA,80,400041_202505_CA
5,2025,4,400045,AU001,AU,43,400045_202505_AU
5,2025,4,400047,AU001,AU,81,400047_202505_AU
5,2025,4,400048,AU001,AU,258,400048_202505_AU
5,2025,4,400049,AU001,AU,581,400049_202505_AU
5,2025,4,400050,HK001,HK,837,400050_202505_HK
5,2025,4,400051,HK001,HK,1387,400051_202505_HK
5,2025,17,170006,IT001,IT,1747,170006_202505_IT
5,2025,17,170008,AT001,AT,42,170008_202505_AT
5,2025,17,170009,FR001,FR,1446,170009_202505_FR
5,2025,17,170009,MA001,MA,0,170009_202505_MA
5,2025,17,170010,DE001,DE,164,170010_202505_DE
5,2025,17,170011,PT001,PT,137,170011_202505_PT
5,2025,17,170012,ES001,ES,748,170012_202505_ES
5,2025,17,170013,CH001,CH,273,170013_202505_CH
5,2025,17,170014,HU001,HU,118,170014_202505_HU
5,2025,17,170015,TR001,TR,931,170015_202505_TR
5,2025,17,170016,DE001,DE,6,170016_202505_DE
5,2025,17,170017,FI001,FI,209,170017_202505_FI
5,2025,17,170017,SE001,SE,140,170017_202505_SE
5,2025,17,170018,GR001,GR,76,170018_202505_GR
5,2025,17,170019,GB001,GB,612,170019_202505_GB
